286,285x406,140x200
287,554x281,200x101
1182,600x788,152x200
476,500x328,200x131
1043,600x310,200x103
508,499x400,200x160
511,200x169,200x169
512,600x378,200x126
515,200x142,200x142
516,380x400,190x200
518,600x344,200x114
519,600x344,200x114
520,417x400,200x191
529,600x388,200x129
531,600x387,200x129
532,200x129,200x129
533,500x400,200x160
535,500x400,200x160
537,491x400,200x162
539,600x393,200x131
541,600x378,200x126
544,513x400,200x155
545,475x400,200x168
547,546x400,200x146
549,551x400,200x145
551,534x400,200x149
553,526x400,200x152
555,600x236,200x78
557,477x400,200x167
559,600x339,200x113
561,600x201,200x67
563,504x400,200x158
565,591x400,200x135
567,400x419,190x199
571,575x400,200x139
573,468x400,200x170
575,494x400,199x161
577,476x400,200x168
579,599x400,200x133
582,593x400,200x134
584,600x328,200x109
586,513x400,200x155
589,440x234,199x106
58,209x185,200x177
591,511x400,200x156
593,495x400,200x161
596,494x400,199x161
597,455x400,200x175
599,600x394,200x131
601,600x388,200x129
607,200x149,200x149
609,200x147,200x147
60,150x118,200x157
611,200x152,200x152
612,600x390,200x130
61,190x94,200x98
621,200x150,200x150
623,200x137,200x137
625,200x134,200x134
627,200x128,200x128
631,200x146,200x146
633,200x310,129x200
635,200x150,200x150
637,200x145,200x145
641,200x151,200x151
643,200x154,200x154
645,200x129,200x129
647,200x144,200x144
649,200x134,200x134
651,200x133,200x133
653,200x127,200x127
654,563x400,200x142
674,344x192,200x111
748,480x272,200x113
1009,598x400,199x133
783,600x450,200x150
1007,600x450,200x150
885,75x100,150x200
1042,600x120,200x40
1186,600x237,200x79
1187,533x400,200x150
1188,519x400,199x154
1189,562x400,200x142
1190,600x387,200x129
1191,600x388,200x129
903,400x323,200x161
904,400x360,200x180
905,400x241,200x120
907,600x207,200x69
909,400x150,200x75
910,319x256,200x160
911,400x234,200x117
912,400x226,200x113
913,600x385,200x128
914,600x423,200x141
915,400x332,200x166
916,400x254,200x127
917,400x284,200x142
918,400x326,200x163
919,400x221,200x110
920,400x181,200x90
921,516x290,200x112
922,400x258,200x129
923,400x259,200x129
924,400x280,200x140
925,400x272,200x136
926,400x217,200x108
927,338x411,164x199
928,400x474,168x200
929,400x549,145x200
930,400x553,144x200
931,400x282,200x141
932,235x400,117x200
933,400x260,200x130
934,400x284,200x142
935,400x282,200x141
936,400x200,200x100
937,400x294,200x147
938,400x332,200x166
1177,600x423,200x141
940,600x493,200x164
1000,200x150,200x150
1008,600x450,200x150
1037,600x517,200x172
1011,600x469,200x156
1192,544x400,199x147
1193,598x400,199x133
1040,600x657,182x200
1041,600x429,200x143
1194,600x382,200x127
1195,600x386,200x128
1044,600x415,200x138
1045,600x463,200x154
1050,600x255,200x85
1051,600x600,200x200
1052,600x450,200x150
1053,600x480,200x160
1054,600x600,200x200
1055,600x450,200x150
1056,600x400,200x133
1057,600x600,200x200
1058,600x600,200x200
1059,600x401,200x133
1060,600x450,200x150
1061,600x450,200x150
1062,600x450,200x150
1063,600x450,200x150
1064,600x400,200x133
1065,600x450,200x150
1066,600x450,200x150
1067,600x400,200x133
1068,600x600,200x200
1069,600x425,200x141
1070,600x450,200x150
1071,600x450,200x150
1072,600x267,200x89
1073,600x400,200x133
1080,600x565,200x188
1081,600x492,200x164
1082,600x418,200x139
1083,600x339,200x113
1084,600x512,200x170
1085,600x432,200x144
1086,600x677,177x200
1087,600x551,200x183
1088,600x704,170x200
1089,600x605,198x200
1090,600x560,200x186
1091,600x611,196x200
1092,600x638,188x200
1093,600x604,198x200
1094,600x607,197x200
1095,600x436,200x145
1096,600x400,200x133
1097,600x444,200x148
1101,600x317,200x105
1100,600x327,200x109
1102,600x666,180x200
1112,600x459,200x153
1113,600x414,200x138
1115,600x480,200x160
1116,600x604,198x200
1117,600x450,200x150
1118,600x450,200x150
1119,600x450,200x150
1120,600x369,200x123
1122,600x791,151x200
1123,600x299,200x99
1124,600x598,200x199
1125,600x267,200x89
1126,600x406,200x135
1128,600x273,200x91
1129,600x397,200x132
1130,528x400,200x151
1132,600x378,200x126
1133,600x358,200x119
1134,600x491,200x163
1135,600x841,142x200
1136,465x436,199x187
1137,600x676,177x200
1139,600x304,200x101
1140,600x310,200x103
1141,600x343,200x114
1142,600x341,200x113
1143,600x299,200x99
1144,600x290,200x96
1196,530x400,200x150
1168,600x405,200x135
1172,530x329,200x124
1174,600x359,200x119
1171,600x405,200x135
1173,600x405,200x135
1175,600x786,152x200
1197,551x400,200x145
1198,258x400,129x200
1199,533x400,200x150
1200,584x400,200x136
1201,537x400,200x148
1215,600x450,200x150
1217,600x450,200x150
1282,588x386,200x131
1219,600x255,200x85
1224,600x450,200x150
1231,380x288,200x151
1234,420x500,168x200
1233,380x288,200x151
1235,460x380,200x165
1236,460x380,200x165
1237,460x520,176x200
1238,460x350,200x152
1239,520x720,144x200
1240,510x435,200x170
1241,510x350,200x137
1242,460x710,129x200
1243,460x360,200x156
1244,420x380,200x180
1245,460x300,200x130
1246,450x360,200x160
1247,560x600,186x200
1248,500x320,200x128
1249,542x362,200x133
1250,472x579,163x200
1263,450x329,200x146
1264,450x355,200x157
1265,480x384,200x160
1266,450x360,200x160
1267,450x482,186x200
1268,480x320,200x133
1269,450x318,200x141
1270,450x300,200x133
1271,450x300,200x133
1272,450x318,200x141
1273,450x300,200x133
1274,450x318,200x141
1283,539x356,200x132
1284,590x269,200x91
1285,580x269,200x92
1286,493x307,200x124
1287,358x307,200x171
1288,518x372,200x143
1289,380x267,200x140
1290,600x500,200x166
1291,600x500,200x166
1292,600x285,200x95
1293,316x490,128x199
1294,496x235,200x94
1295,580x279,200x96
1296,511x307,200x120
1297,600x401,200x133
1298,450x236,200x104
1299,589x762,154x200
1300,478x306,200x128
1301,600x400,200x133
1302,600x402,200x134
1303,600x342,200x114
1304,600x202,200x67
1305,600x126,200x42
1306,600x533,200x177
1307,531x421,200x158
1308,600x461,200x153
1309,600x499,200x166
1310,465x270,199x116
1311,529x641,165x200
1312,532x275,200x103
1313,548x371,199x135
1314,600x604,198x200
1315,555x338,200x121
1316,564x381,200x135
1317,476x391,200x164
1318,350x233,200x133
1325,250x188,200x150
1326,350x280,200x160
1327,350x280,200x160
1328,350x263,200x150
1329,350x263,200x150
1330,350x263,200x150
1331,350x263,200x150
1332,350x233,200x133
1333,350x233,200x133
1334,250x375,133x200
1335,450x300,200x133
1336,350x233,200x133
